,index,Entity_x,Code,Year,CO2,HDI,Region,"GDP (output, multiple price benchmarks)"
0,9750,United States,USA,1950,2541485300.0,,North America,2475630000000.0
1,9751,United States,USA,1951,2618711600.0,,North America,2660820000000.0
2,9752,United States,USA,1952,2551219500.0,,North America,2751930000000.0
3,9753,United States,USA,1953,2612971300.0,,North America,2878350000000.0
4,9754,United States,USA,1954,2489462300.0,,North America,2869540000000.0
5,9755,United States,USA,1955,2728512000.0,,North America,3086560000000.0
6,9756,United States,USA,1956,2859995000.0,,North America,3157590000000.0
7,9757,United States,USA,1957,2835772200.0,,North America,3226400000000.0
8,9758,United States,USA,1958,2747107600.0,,North America,3193750000000.0
9,9759,United States,USA,1959,2831923200.0,,North America,3426020000000.0
10,9760,United States,USA,1960,2897315000.0,,North America,3522120000000.0
11,9761,United States,USA,1961,2886872800.0,,North America,3612330000000.0
12,9762,United States,USA,1962,2993902000.0,,North America,3829600000000.0
13,9763,United States,USA,1963,3126487600.0,,North America,4000100000000.0
14,9764,United States,USA,1964,3264313600.0,,North America,4240600000000.0
15,9765,United States,USA,1965,3399547000.0,,North America,4515720000000.0
16,9766,United States,USA,1966,3571421400.0,,North America,4806580000000.0
17,9767,United States,USA,1967,3705461000.0,,North America,4924770000000.0
18,9768,United States,USA,1968,3840919600.0,,North America,5157130000000.0
19,9769,United States,USA,1969,4035145200.0,,North America,5321580000000.0
20,9770,United States,USA,1970,4339686000.0,,North America,5330970000000.0
21,9771,United States,USA,1971,4365465000.0,,North America,5507690000000.0
22,9772,United States,USA,1972,4573015000.0,,North America,5805980000000.0
23,9773,United States,USA,1973,4785048600.0,,North America,6163080000000.0
24,9774,United States,USA,1974,4621046000.0,,North America,6107470000000.0
25,9775,United States,USA,1975,4478226000.0,,North America,6077310000000.0
26,9776,United States,USA,1976,4747762000.0,,North America,6423950000000.0
27,9777,United States,USA,1977,4889607000.0,,North America,6727650000000.0
28,9778,United States,USA,1978,4941361700.0,,North America,7114130000000.0
29,9779,United States,USA,1979,5008578600.0,,North America,7350350000000.0
30,9780,United States,USA,1980,4808520700.0,0.826,North America,7309360000000.0
31,9781,United States,USA,1981,4686369300.0,,North America,7496490000000.0
32,9782,United States,USA,1982,4447256000.0,,North America,7323940000000.0
33,9783,United States,USA,1983,4429374000.0,,North America,7655240000000.0
34,9784,United States,USA,1984,4662141400.0,,North America,8235800000000.0
35,9785,United States,USA,1985,4652580000.0,0.841,North America,8533360000000.0
36,9786,United States,USA,1986,4663369700.0,,North America,8808310000000.0
37,9787,United States,USA,1987,4825650700.0,,North America,9116680000000.0
38,9788,United States,USA,1988,5050475500.0,,North America,9489530000000.0
39,9789,United States,USA,1989,5132134400.0,,North America,9822400000000.0
40,9790,United States,USA,1990,5122496000.0,0.86,North America,9978170000000.0
41,9791,United States,USA,1991,5064987000.0,0.861,North America,9939460000000.0
42,9792,United States,USA,1992,5175220000.0,0.867,North America,10301200000000.0
43,9793,United States,USA,1993,5274363000.0,0.871,North America,10602500000000.0
44,9794,United States,USA,1994,5365579000.0,0.875,North America,11054600000000.0
45,9795,United States,USA,1995,5427798500.0,0.877,North America,11361700000000.0
46,9796,United States,USA,1996,5616430600.0,0.879,North America,11815800000000.0
47,9797,United States,USA,1997,5691864600.0,0.881,North America,12360300000000.0
48,9798,United States,USA,1998,5737129500.0,0.884,North America,12924300000000.0
49,9799,United States,USA,1999,5810331600.0,0.885,North America,13526800000000.0
50,9800,United States,USA,2000,6016350700.0,0.885,North America,14096000000000.0
51,9801,United States,USA,2001,5911988000.0,0.887,North America,14205400000000.0
52,9802,United States,USA,2002,5952699000.0,0.889,North America,14396900000000.0
53,9803,United States,USA,2003,6015804400.0,0.893,North America,14799700000000.0
54,9804,United States,USA,2004,6117963000.0,0.895,North America,15372600000000.0
55,9805,United States,USA,2005,6137603600.0,0.898,North America,15920600000000.0
56,9806,United States,USA,2006,6057163300.0,0.901,North America,16386500000000.0
57,9807,United States,USA,2007,6135287300.0,0.905,North America,16702400000000.0
58,9808,United States,USA,2008,5918868500.0,0.91,North America,16671600000000.0
59,9809,United States,USA,2009,5482978000.0,0.91,North America,16195000000000.0
60,9810,United States,USA,2010,5681392000.0,0.914,North America,16651700000000.0
61,9811,United States,USA,2011,5546629000.0,0.917,North America,16943900000000.0
62,9812,United States,USA,2012,5345454000.0,0.918,North America,17383000000000.0
63,9813,United States,USA,2013,5480926000.0,0.916,North America,17764000000000.0
64,9814,United States,USA,2014,5528871000.0,0.918,North America,18244200000000.0
65,9815,United States,USA,2015,5376578000.0,0.92,North America,18785400000000.0
66,9816,United States,USA,2016,5251757600.0,0.922,North America,19095200000000.0
67,9817,United States,USA,2017,5210957300.0,0.924,North America,19543000000000.0
68,9818,United States,USA,2018,5376657400.0,,North America,20155300000000.0
69,9819,United States,USA,2019,5259144000.0,,North America,20595800000000.0
